questionText,optionA,optionB,optionC,optionD,correctAnswer,topic
"What is the value of 2 + 3?","4","5","6","7","B","Arithmetic"
"Solve: 5 × 6 = ?","11","25","30","35","C","Arithmetic"
"What is the square root of 144?","10","11","12","14","C","Algebra"
"Find x if 2x + 4 = 10","2","3","4","5","B","Algebra"
"What is 15% of 200?","20","25","30","35","C","Percentage"
"If sin(30°) = ?","0","0.5","1","0.75","B","Trigonometry"
"What is the area of a circle with radius 7? (Use π = 22/7)","44","154","88","176","B","Geometry"
"Simplify: (3^2 + 4^2)","7","25","12","49","B","Algebra"
"What is the LCM of 12 and 18?","6","36","72","24","B","Number Theory"
"Convert 0.75 to a fraction","1/2","3/4","2/3","4/5","B","Arithmetic"
